t,amount,length,area,id_relation,Pays
2025-05-01T00:00:00.000Z,17437,0,0,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,17437,0,0,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,17470,0,0,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,17470,0,0,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,17617,0,0,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-02T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-03T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-04T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-05T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-06T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-07T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-08T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-09T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-10T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-11T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-12T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-13T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-14T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-15T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-16T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-17T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-18T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-19T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-20T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-21T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-22T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-23T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-24T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-25T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-26T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-27T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-28T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
2025-10-29T00:00:00.000Z,17634,0,0,/boundary/303427,Afghanistan
