x,amount,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.generation.amount,labels.generation.length,labels.generation.area,labels.industrial.amount,labels.industrial.length,labels.industrial.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,id_relation,Pays
2025-11-14T00:00:00.000Z,793186,86432946.3583666,2355413978.7621,75222,15541811.3911331,283575613.630213,6782,1485251.15921659,36451589.6321162,16096,2630273.24206271,41418994.8073312,144513,54174955.3475136,1848717392.26342,"",World (default)
2025-11-15T00:00:00.000Z,793353,86440343.3003553,2355545479.84026,75225,15542269.0576486,283579669.782523,6783,1485251.15921659,36451589.6321162,16099,2630454.03876882,41418475.6286394,144526,54177049.0792944,1848769220.82578,"",World (default)
2025-11-16T00:00:00.000Z,794033,86447917.1474643,2355701634.54924,75233,15545091.9189085,283649350.169195,6783,1485251.15921659,36451589.6321162,16103,2630731.61440207,41421403.4124658,144546,54182584.68855,1848888259.94179,"",World (default)
2025-11-17T00:00:00.000Z,794235,86461836.779501,2356305393.40082,75239,15545639.3313726,283655852.310515,6784,1485522.18091619,36456083.1539137,16108,2631341.13721325,41426972.6465218,144574,54188192.6105228,1848966322.35176,"",World (default)
2025-11-18T00:00:00.000Z,794656,86507475.931739,2357323473.1398,75243,15545934.1433314,283657565.053088,6785,1485774.12288338,36459817.7890636,16109,2631570.56669285,41430018.8875695,144709,54244891.8024364,1850801384.79997,"",World (default)
2025-11-19T00:00:00.000Z,795169,86516913.1120804,2357546680.45977,75244,15546110.3399268,283655599.203996,6785,1485660.0947267,36457348.2387669,16110,2631766.58664218,41432085.7381803,144771,54272444.7746281,1851676576.76949,"",World (default)
2025-11-20T00:00:00.000Z,795380,86528363.7400199,2357673410.74291,75244,15546176.0888076,283656442.620196,6785,1485660.0947267,36457348.2387669,16112,2632259.76551781,41445391.169205,144848,54348658.3682003,1856811019.63184,"",World (default)
2025-11-21T00:00:00.000Z,795714,86547286.3623001,2355770127.87808,75264,15551354.1994168,283760063.894006,6784,1478823.48359283,34115060.8514016,16111,2632238.94661939,41445274.0903664,144931,54390701.7447678,1858710069.24294,"",World (default)
2025-11-22T00:00:00.000Z,796059,86578063.9605266,2356227427.91954,75268,15551593.4538566,283748238.802639,6785,1478522.82319192,34086348.6724543,16113,2633139.75970152,41470084.5319302,144976,54409136.7117765,1859725509.26555,"",World (default)
2025-11-23T00:00:00.000Z,796308,86616267.6765497,2356903338.86105,75267,15551866.2287322,283749241.878314,6786,1478667.70302347,34087634.8017933,16116,2633634.28529964,41476235.0071582,145293,54532105.906886,1863679458.80019,"",World (default)
2025-11-24T00:00:00.000Z,796550,86644557.1415966,2357570665.24924,75277,15553703.1098031,283783785.465933,6797,1482288.0775263,34163393.2767891,16126,2636846.12031502,41564368.7178601,145498,54611492.8100348,1865936762.38604,"",World (default)
2025-11-25T00:00:00.000Z,796879,86656350.7339186,2357781186.28931,75277,15552791.8739499,283756344.958635,6799,1482765.06339878,34170775.8494084,16129,2637392.82485629,41572954.7774974,145550,54627338.9387865,1866385495.62219,"",World (default)
2025-11-26T00:00:00.000Z,797184,86669715.4376219,2358039327.71214,75280,15553303.3090276,283769200.247888,6800,1484021.67286265,34240115.0055922,16129,2637300.70691568,41571320.7838806,145558,54630143.9383948,1866453591.28186,"",World (default)
2025-11-27T00:00:00.000Z,797541,86676950.3668865,2358101327.2387,75290,15553393.2050556,283769678.448202,6811,1484074.68743557,34218695.7568303,16131,2637300.70199928,41571319.0384862,145577,54637168.1849194,1866688521.3526,"",World (default)
2024-01-01T00:00:00.000Z,107,34973.6961491595,1652827.12408151,7,1975.18039426975,61508.7812863961,11,2537.27580574789,50231.6276999731,,,,6,4749.19305526742,288348.604554966,/boundary/303427,Afghanistan
2024-02-01T00:00:00.000Z,108,35446.5579980643,1666791.26958917,7,1975.18039426975,61508.7812863961,11,2537.27580574789,50231.6276999731,,,,6,4749.19305526742,288348.604554966,/boundary/303427,Afghanistan
2024-03-01T00:00:00.000Z,108,35446.5579980643,1666791.26958917,7,1975.18039426975,61508.7812863961,11,2537.27580574789,50231.6276999731,,,,6,4749.19305526742,288348.604554966,/boundary/303427,Afghanistan
2024-04-01T00:00:00.000Z,107,37428.0374282182,1771596.26034156,8,2341.57407338575,68726.0532457754,10,2537.27590259486,50231.6309930403,,,,7,5014.91195626122,292607.318371639,/boundary/303427,Afghanistan
2024-05-01T00:00:00.000Z,107,37428.0374282182,1771596.26034156,8,2341.57407338575,68726.0532457754,10,2537.27590259486,50231.6309930403,,,,7,5014.91195626122,292607.318371639,/boundary/303427,Afghanistan
2024-06-01T00:00:00.000Z,107,37428.0374282182,1771596.26034156,8,2341.57407338575,68726.0532457754,10,2537.27590259486,50231.6309930403,,,,7,5014.91195626122,292607.318371639,/boundary/303427,Afghanistan
2024-07-01T00:00:00.000Z,86,40090.5079483627,2010540.53491503,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27097.3635925412,1581515.42103183,/boundary/303427,Afghanistan
2024-08-01T00:00:00.000Z,86,40090.5079483627,2010540.53491503,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27097.3635925412,1581515.42103183,/boundary/303427,Afghanistan
2024-09-01T00:00:00.000Z,87,40174.25878228,2017467.95531701,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144264585,1588442.84143381,/boundary/303427,Afghanistan
2024-10-01T00:00:00.000Z,87,40174.25878228,2017467.95531701,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144264585,1588442.84143381,/boundary/303427,Afghanistan
2024-11-01T00:00:00.000Z,87,40298.5182453132,2018384.5033173,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144264585,1588442.84143381,/boundary/303427,Afghanistan
2024-12-01T00:00:00.000Z,88,41508.9073743272,2046134.95600784,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144264585,1588442.84143381,/boundary/303427,Afghanistan
2025-01-01T00:00:00.000Z,88,41508.9073757959,2046135.12332228,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144279271,1588443.00874826,/boundary/303427,Afghanistan
2025-02-01T00:00:00.000Z,88,41508.9073757959,2046135.12332228,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144279271,1588443.00874826,/boundary/303427,Afghanistan
2025-03-01T00:00:00.000Z,88,41508.9073757959,2046135.12332228,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144279271,1588443.00874826,/boundary/303427,Afghanistan
2025-04-01T00:00:00.000Z,88,41508.9073757959,2046135.12332228,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27181.1144279271,1588443.00874826,/boundary/303427,Afghanistan
2025-05-01T00:00:00.000Z,88,41506.4066498209,2045371.7969412,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27178.6137019522,1587679.68236717,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,88,41506.4066498209,2045371.7969412,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27178.6137019522,1587679.68236717,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,89,41809.4050331412,2050748.50087985,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27178.6137019522,1587679.68236717,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,89,41809.4050331412,2050748.50087985,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27178.6137019522,1587679.68236717,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,89,41809.4050331412,2050748.50087985,7,2938.53540791623,88383.2444509789,11,2763.09556507765,52573.0568736214,1,104.501104128726,674.77718821913,37,27178.6137019522,1587679.68236717,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-01T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-02T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-03T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-04T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-05T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-06T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-07T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-08T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-09T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-10T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-11T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-12T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-13T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-14T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-15T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-16T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-17T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-18T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-19T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-20T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-21T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-22T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-23T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-24T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-25T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-26T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2025-11-27T00:00:00.000Z,97,42694.629663433,2057007.14182643,7,2938.53540791623,88383.2444509789,11,2753.57490419178,52202.5182989258,1,104.501104128726,674.77718821913,40,27898.8227609773,1599751.5979784,/boundary/303427,Afghanistan
2024-01-01T00:00:00.000Z,237,31569.4988161359,716912.901725919,19,4531.76211297283,69139.677295058,,,,1,355.598705609288,6727.89770564809,7,3440.14971398788,116326.592756511,/boundary/53292,Albania
2024-02-01T00:00:00.000Z,237,31569.4988161359,716912.901725919,19,4531.76211297283,69139.677295058,,,,1,355.598705609288,6727.89770564809,7,3440.14971398788,116326.592756511,/boundary/53292,Albania
2024-03-01T00:00:00.000Z,243,32939.5994527343,689998.452092523,19,4531.76211297283,69139.677295058,,,,1,355.598705609288,6727.89770564809,26,10688.232143528,299102.435073244,/boundary/53292,Albania
2024-04-01T00:00:00.000Z,243,32939.5994527343,689998.452092523,19,4531.76211297283,69139.677295058,,,,1,355.598705609288,6727.89770564809,26,10688.232143528,299102.435073244,/boundary/53292,Albania
2024-05-01T00:00:00.000Z,244,32968.3631128801,690022.782195735,19,4530.36659684504,69110.1487866109,,,,1,355.598705609288,6727.89770564809,26,10688.232143528,299102.435073244,/boundary/53292,Albania
2024-06-01T00:00:00.000Z,244,32968.3631128801,690022.782195735,19,4530.36659684504,69110.1487866109,,,,1,355.598705609288,6727.89770564809,26,10688.232143528,299102.435073244,/boundary/53292,Albania
2024-07-01T00:00:00.000Z,244,32968.3631133546,690022.913197058,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,26,10688.2321440025,299102.566074567,/boundary/53292,Albania
2024-08-01T00:00:00.000Z,245,33317.5379608437,696926.020594883,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,28,11629.192706995,325536.971440096,/boundary/53292,Albania
2024-09-01T00:00:00.000Z,245,33317.5379608437,696926.020594883,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,28,11629.192706995,325536.971440096,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,245,33245.0761583997,695105.924582879,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,28,11629.192706995,325536.971440096,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,245,33245.0761583997,695105.924582879,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,28,11629.192706995,325536.971440096,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,246,33357.1880097614,695738.439832355,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,30,13099.1020871459,386672.71866455,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,247,33375.4387325053,695759.071869704,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,30,13099.1020871459,386672.71866455,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,247,33375.4387325053,695759.071869704,19,4530.36659731947,69110.2797879344,,,,1,355.598705609288,6727.89770564809,30,13099.1020871459,386672.71866455,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,253,33879.8707222985,700035.298992449,18,4380.71060954932,68237.2779359408,,,,1,355.598705609288,6727.89770564809,30,13099.1020871459,386672.71866455,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,253,33879.8707222985,700035.298992449,18,4380.71060954932,68237.2779359408,,,,1,355.598705609288,6727.89770564809,30,13099.1020871459,386672.71866455,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,254,34041.9477730817,701729.046599338,18,4380.71060954932,68237.2779359408,,,,1,355.598705609288,6727.89770564809,30,13099.1020871459,386672.71866455,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,254,32959.5895629468,703971.105747859,18,4380.71060954932,68237.2779359408,,,,1,355.598705609288,6727.89770564809,28,11997.27914438,388891.113544427,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,255,32959.5895629468,703971.105747859,18,4380.71060954932,68237.2779359408,,,,1,355.598705609288,6727.89770564809,28,11997.27914438,388891.113544427,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,255,32959.5895629468,703971.105747859,18,4380.71060954932,68237.2779359408,,,,1,355.598705609288,6727.89770564809,28,11997.27914438,388891.113544427,/boundary/53292,Albania
