x,amount,amount_1d,amount_30d,id_relation,Pays
2025-11-03T00:00:00.000Z,52,2,7,/boundary/192756,Algeria
2025-11-04T00:00:00.000Z,52,0,6,/boundary/192756,Algeria
2025-11-05T00:00:00.000Z,52,0,6,/boundary/192756,Algeria
2025-11-06T00:00:00.000Z,52,1,6,/boundary/192756,Algeria
2025-11-07T00:00:00.000Z,52,1,6,/boundary/192756,Algeria
2025-11-08T00:00:00.000Z,52,0,6,/boundary/192756,Algeria
2025-11-09T00:00:00.000Z,52,0,6,/boundary/192756,Algeria
2025-11-10T00:00:00.000Z,52,1,5,/boundary/192756,Algeria
2025-11-11T00:00:00.000Z,52,1,5,/boundary/192756,Algeria
2025-11-12T00:00:00.000Z,52,2,5,/boundary/192756,Algeria
2025-11-13T00:00:00.000Z,52,2,5,/boundary/192756,Algeria
2025-11-14T00:00:00.000Z,52,2,4,/boundary/192756,Algeria
2025-11-15T00:00:00.000Z,52,1,4,/boundary/192756,Algeria
2025-11-16T00:00:00.000Z,52,0,4,/boundary/192756,Algeria
2025-11-17T00:00:00.000Z,52,0,4,/boundary/192756,Algeria
2025-11-18T00:00:00.000Z,52,0,4,/boundary/192756,Algeria
2025-11-19T00:00:00.000Z,52,0,4,/boundary/192756,Algeria
2025-11-20T00:00:00.000Z,52,1,4,/boundary/192756,Algeria
2025-11-21T00:00:00.000Z,53,2,5,/boundary/192756,Algeria
2025-11-22T00:00:00.000Z,53,0,5,/boundary/192756,Algeria
2025-11-23T00:00:00.000Z,53,0,5,/boundary/192756,Algeria
2025-11-24T00:00:00.000Z,53,0,5,/boundary/192756,Algeria
2025-11-25T00:00:00.000Z,53,1,5,/boundary/192756,Algeria
2025-11-26T00:00:00.000Z,53,0,5,/boundary/192756,Algeria
2025-11-27T00:00:00.000Z,53,0,5,/boundary/192756,Algeria
2024-02-01T00:00:00.000Z,1,0,1,/boundary/9407,Andorra
2024-03-01T00:00:00.000Z,2,0,1,/boundary/9407,Andorra
2024-04-01T00:00:00.000Z,4,0,2,/boundary/9407,Andorra
2024-05-01T00:00:00.000Z,4,0,0,/boundary/9407,Andorra
2024-06-01T00:00:00.000Z,4,0,0,/boundary/9407,Andorra
2024-07-01T00:00:00.000Z,4,0,0,/boundary/9407,Andorra
2024-08-01T00:00:00.000Z,4,0,0,/boundary/9407,Andorra
2024-09-01T00:00:00.000Z,4,0,0,/boundary/9407,Andorra
2024-10-01T00:00:00.000Z,5,0,1,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2024-12-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2025-01-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2025-02-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2025-03-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2025-04-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2025-05-01T00:00:00.000Z,5,0,0,/boundary/9407,Andorra
2025-06-01T00:00:00.000Z,7,0,1,/boundary/9407,Andorra
2025-07-01T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-08-01T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-09-01T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-10-01T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-01T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-02T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-03T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-04T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-05T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-06T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-07T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-08T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-09T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-10T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-11T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-12T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-13T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-14T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
2025-11-15T00:00:00.000Z,7,0,0,/boundary/9407,Andorra
