t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,2117.55541965613,0,,,,69,2117.55541965613,0,69,2117.55541965613,0,Bhutan,0.635853680333819,823.09036748593
2025-11-13T00:00:00Z,8114.87560414926,0,,,,278,8114.87560414926,0,278,8114.87560414926,0,Bolivia,0.23592010674639,1549.01785990396
2025-11-13T00:00:00Z,4892.31530934748,0,12,120361.655048551,0,237,4771.95365429893,0,231,4771.40949485233,0,Bosnia and Herzegovina,0.0702315596209687,321.047282940061
2025-11-13T00:00:00Z,5426.39658237313,0,,,,159,5426.39658237313,0,159,5426.39658237313,0,Botswana,0.0123537050326916,66.21806433442
2025-11-13T00:00:00Z,299895.241366255,0,83,1161189.62009551,0,15344,298734.05174616,0,15130,298169.722197478,0,Brazil,0.0209910728906326,6165.69824969198
2025-11-13T00:00:00Z,362.499160146212,0,,,,36,362.499160146212,0,36,362.499160146212,0,Brunei,0,0
2025-11-13T00:00:00Z,12661.0605826159,0,300,502961.50285524,0,1768,12169.4453355013,0,1766,12168.8620217889,0,Bulgaria,0.353923090962003,3309.67225994549
2025-11-13T00:00:00Z,1540.08272869749,0,,,,24,1540.08272869749,0,24,1540.08272869749,0,Burkina Faso,0.0365513289324684,54.30707465091
2025-11-13T00:00:00Z,479.498829620579,0,,,,11,479.498829620579,0,11,479.498829620579,0,Burundi,0.000696469437977149,0.333723851912964
2025-11-13T00:00:00Z,2590.81006397435,0,,,,160,2590.81006397435,0,160,2590.81006397435,0,Cambodia,0.0391798149034749,97.6803603195503
2025-11-13T00:00:00Z,2254.22929150915,0,2,1925.88967237576,0,63,2252.30340183677,0,63,2252.30340183677,0,Cameroon,0.127561106758267,255.0211971558
2025-11-13T00:00:00Z,150365.869550599,0,2352,3605533.24588326,0,14476,146966.343954203,0,14303,146627.282586241,0,Canada,0.064606962224432,9125.13481369798
2025-11-13T00:00:00Z,44.940668806433,0,5,6956.16935609989,0,2,37.9844994503331,0,2,37.9844994503331,0,Cape Verde,0,0
2025-11-13T00:00:00Z,79.2882599122479,0,,,,2,79.2882599122479,0,2,79.2882599122479,0,Central African Republic,0,0
