x,amount,amount_1d,amount_30d,labels.distribution.amount,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.transmission.amount,labels.transmission.amount_1d,labels.transmission.amount_30d,labels.transmission_overhead.amount,labels.transmission_overhead.amount_1d,labels.transmission_overhead.amount_30d,id_relation,Pays
2024-01-01T00:00:00.000Z,0,84,1158,0,22,214,0,58,840,0,54,780,"",World (default)
2024-02-01T00:00:00.000Z,1345,82,1307,228,11,215,997,62,972,926,57,902,"",World (default)
2024-03-01T00:00:00.000Z,2336,108,1482,370,17,222,1792,73,1146,1658,71,1054,"",World (default)
2024-04-01T00:00:00.000Z,3199,82,1420,518,20,245,2504,50,1080,2324,49,1012,"",World (default)
2024-05-01T00:00:00.000Z,3981,98,1426,646,14,238,3141,73,1078,2918,67,993,"",World (default)
2024-06-01T00:00:00.000Z,4689,86,1353,768,13,236,3700,62,1013,3435,53,933,"",World (default)
2024-07-01T00:00:00.000Z,5286,92,1326,900,23,258,4170,63,988,3860,54,900,"",World (default)
2024-08-01T00:00:00.000Z,5893,93,1260,1021,26,263,4651,63,934,4296,61,845,"",World (default)
2024-09-01T00:00:00.000Z,6475,88,1270,1139,22,256,5124,66,948,4727,62,858,"",World (default)
2024-10-01T00:00:00.000Z,7008,107,1289,1241,29,284,5577,72,970,5162,63,891,"",World (default)
2024-11-01T00:00:00.000Z,7615,78,1364,1336,19,258,6100,51,1092,5661,47,1008,"",World (default)
2024-12-01T00:00:00.000Z,8202,71,1401,1460,25,287,6596,44,1067,6112,40,969,"",World (default)
2025-01-01T00:00:00.000Z,8697,91,1306,1552,23,247,7003,58,991,6496,53,906,"",World (default)
2025-02-01T00:00:00.000Z,9209,107,1346,1678,28,282,7443,65,1029,6911,64,942,"",World (default)
2025-03-01T00:00:00.000Z,9701,97,1351,1772,22,283,7861,57,1025,7291,54,935,"",World (default)
2025-04-01T00:00:00.000Z,10268,95,1420,1898,17,285,8308,68,1046,7703,63,952,"",World (default)
2025-05-01T00:00:00.000Z,10769,98,1396,2025,27,312,8723,65,1056,8087,60,962,"",World (default)
2025-06-01T00:00:00.000Z,11247,78,1356,2152,27,308,9114,49,1041,8453,40,939,"",World (default)
2025-07-01T00:00:00.000Z,11735,88,1368,2252,21,298,9505,53,1036,8814,47,937,"",World (default)
2025-08-01T00:00:00.000Z,12223,86,1340,2360,25,279,9913,47,987,9180,40,889,"",World (default)
2025-09-01T00:00:00.000Z,12734,88,1416,2487,15,311,10325,63,1058,9566,55,964,"",World (default)
2025-10-01T00:00:00.000Z,13203,109,1377,2575,14,287,10722,83,1047,9931,73,948,"",World (default)
2025-11-01T00:00:00.000Z,13699,108,1378,2669,24,271,11139,80,1074,10320,72,957,"",World (default)
2025-11-02T00:00:00.000Z,13722,101,1388,2669,20,269,11162,75,1089,10341,70,972,"",World (default)
2025-11-03T00:00:00.000Z,13737,93,1399,2671,21,273,11177,65,1093,10355,63,980,"",World (default)
2025-11-04T00:00:00.000Z,13749,109,1410,2676,29,281,11187,71,1099,10364,67,984,"",World (default)
2025-11-05T00:00:00.000Z,13775,109,1418,2678,20,280,11209,78,1106,10383,70,991,"",World (default)
2025-11-06T00:00:00.000Z,13791,105,1413,2684,23,280,11222,64,1104,10395,60,992,"",World (default)
2025-11-07T00:00:00.000Z,13810,124,1416,2688,24,286,11242,93,1113,10413,85,1003,"",World (default)
2025-11-08T00:00:00.000Z,13820,98,1409,2690,21,285,11251,70,1110,10421,68,1003,"",World (default)
2025-11-09T00:00:00.000Z,13834,114,1411,2693,19,286,11265,77,1106,10433,67,1001,"",World (default)
2025-11-10T00:00:00.000Z,13845,83,1404,2696,21,288,11272,58,1096,10439,54,991,"",World (default)
2025-11-11T00:00:00.000Z,13862,114,1414,2698,22,288,11287,76,1105,10454,72,1002,"",World (default)
2025-11-12T00:00:00.000Z,13878,83,1418,2701,19,289,11298,56,1105,10466,55,1006,"",World (default)
2025-11-13T00:00:00.000Z,13898,97,1421,2705,25,290,11316,70,1106,10482,62,1002,"",World (default)
2025-11-14T00:00:00.000Z,13910,99,1426,2707,24,287,11327,58,1106,10493,56,1003,"",World (default)
2025-11-15T00:00:00.000Z,13924,88,1423,2711,16,287,11336,61,1101,10503,60,1003,"",World (default)
2025-11-16T00:00:00.000Z,13941,100,1435,2714,19,284,11350,66,1117,10517,63,1020,"",World (default)
2025-11-17T00:00:00.000Z,13960,83,1435,2722,21,290,11368,59,1122,10534,52,1023,"",World (default)
2025-11-18T00:00:00.000Z,13976,102,1441,2726,24,288,11381,69,1118,10546,65,1020,"",World (default)
2025-11-19T00:00:00.000Z,13998,100,1456,2730,22,288,11397,69,1131,10564,65,1029,"",World (default)
2025-11-20T00:00:00.000Z,14012,85,1447,2732,14,286,11411,58,1127,10578,55,1026,"",World (default)
2025-11-21T00:00:00.000Z,14036,115,1453,2737,27,292,11427,75,1130,10591,68,1029,"",World (default)
2025-11-22T00:00:00.000Z,14055,95,1446,2741,20,291,11441,61,1123,10601,54,1020,"",World (default)
2025-11-23T00:00:00.000Z,14074,98,1437,2745,24,294,11457,70,1112,10617,66,1009,"",World (default)
2025-11-24T00:00:00.000Z,14085,89,1432,2745,19,293,11466,62,1106,10623,58,1004,"",World (default)
2025-11-25T00:00:00.000Z,14103,104,1441,2747,21,294,11478,68,1108,10631,58,1002,"",World (default)
2025-11-26T00:00:00.000Z,14120,115,1446,2749,29,299,11492,70,1105,10644,66,1002,"",World (default)
2025-11-27T00:00:00.000Z,14138,106,1446,2751,14,294,11506,76,1105,10658,73,1004,"",World (default)
2024-01-01T00:00:00.000Z,0,0,1,,,,0,0,1,0,0,1,/boundary/303427,Afghanistan
2024-02-01T00:00:00.000Z,1,0,0,,,,1,0,0,1,0,0,/boundary/303427,Afghanistan
2024-03-01T00:00:00.000Z,5,0,5,,,,3,0,3,3,0,3,/boundary/303427,Afghanistan
2024-04-01T00:00:00.000Z,5,0,2,,,,3,0,1,3,0,1,/boundary/303427,Afghanistan
2024-05-01T00:00:00.000Z,12,1,8,,,,9,1,6,9,1,6,/boundary/303427,Afghanistan
2024-06-01T00:00:00.000Z,18,1,6,,,,15,1,6,15,1,6,/boundary/303427,Afghanistan
2024-07-01T00:00:00.000Z,22,0,5,,,,19,0,5,19,0,5,/boundary/303427,Afghanistan
2024-08-01T00:00:00.000Z,24,0,3,,,,20,0,2,20,0,2,/boundary/303427,Afghanistan
2024-09-01T00:00:00.000Z,25,0,3,,,,21,0,2,21,0,2,/boundary/303427,Afghanistan
2024-10-01T00:00:00.000Z,25,0,0,,,,21,0,0,21,0,0,/boundary/303427,Afghanistan
2024-11-01T00:00:00.000Z,25,0,0,,,,21,0,0,21,0,0,/boundary/303427,Afghanistan
2024-12-01T00:00:00.000Z,25,0,0,,,,21,0,0,21,0,0,/boundary/303427,Afghanistan
2025-01-01T00:00:00.000Z,26,0,1,,,,21,0,0,21,0,0,/boundary/303427,Afghanistan
2025-02-01T00:00:00.000Z,26,0,0,,,,21,0,0,21,0,0,/boundary/303427,Afghanistan
2025-03-01T00:00:00.000Z,26,0,0,,,,21,0,0,21,0,0,/boundary/303427,Afghanistan
2025-04-01T00:00:00.000Z,27,1,3,,,,21,1,2,21,1,2,/boundary/303427,Afghanistan
2025-05-01T00:00:00.000Z,29,1,3,,,,21,0,1,21,0,1,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,30,0,2,,,,22,0,1,22,0,1,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,30,0,2,,,,23,0,1,23,0,1,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,31,0,1,,,,23,0,0,23,0,0,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,33,0,2,,,,24,0,1,24,0,1,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,33,0,1,,,,24,0,1,24,0,1,/boundary/303427,Afghanistan
2025-11-01T00:00:00.000Z,34,0,1,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-02T00:00:00.000Z,34,0,1,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-03T00:00:00.000Z,34,0,1,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-04T00:00:00.000Z,34,1,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-05T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-06T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-07T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-08T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-09T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-10T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-11T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-12T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-13T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-14T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-15T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-16T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-17T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-18T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-19T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-20T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-21T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-22T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-23T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-24T00:00:00.000Z,34,0,2,,,,25,0,1,25,0,1,/boundary/303427,Afghanistan
2025-11-25T00:00:00.000Z,34,1,1,,,,25,0,0,25,0,0,/boundary/303427,Afghanistan
2025-11-26T00:00:00.000Z,34,0,1,,,,25,0,0,25,0,0,/boundary/303427,Afghanistan
2025-11-27T00:00:00.000Z,34,0,1,,,,25,0,0,25,0,0,/boundary/303427,Afghanistan
2024-03-01T00:00:00.000Z,2,1,2,,,,2,1,2,2,1,2,/boundary/53292,Albania
2024-04-01T00:00:00.000Z,3,0,2,,,,2,0,1,2,0,1,/boundary/53292,Albania
2024-05-01T00:00:00.000Z,3,0,1,,,,3,0,1,3,0,1,/boundary/53292,Albania
2024-06-01T00:00:00.000Z,3,0,0,,,,3,0,0,3,0,0,/boundary/53292,Albania
2024-07-01T00:00:00.000Z,5,0,3,1,0,1,5,0,2,5,0,2,/boundary/53292,Albania
2024-08-01T00:00:00.000Z,6,0,2,1,0,0,6,0,2,6,0,2,/boundary/53292,Albania
2024-09-01T00:00:00.000Z,7,0,2,1,0,0,6,0,1,6,0,1,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,7,0,2,1,0,0,7,0,2,7,0,2,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,9,0,2,1,0,0,9,0,2,9,0,2,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,10,0,2,1,0,0,10,0,2,10,0,2,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,10,0,2,1,0,0,10,0,2,10,0,2,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,11,0,2,1,0,0,11,0,1,11,0,1,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,12,0,1,1,0,0,12,0,1,12,0,1,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,15,0,4,1,0,0,15,0,4,15,0,4,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,16,0,1,1,0,0,16,0,1,16,0,1,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,17,0,1,1,0,0,17,0,1,17,0,1,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,18,0,1,1,0,0,18,0,1,18,0,1,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,19,0,1,1,0,0,18,0,0,18,0,0,/boundary/53292,Albania
2025-09-01T00:00:00.000Z,20,0,1,1,0,0,19,0,1,19,0,1,/boundary/53292,Albania
2025-10-01T00:00:00.000Z,20,0,0,1,0,0,19,0,0,19,0,0,/boundary/53292,Albania
2025-11-01T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-02T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-03T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-04T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-05T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-06T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-07T00:00:00.000Z,21,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-08T00:00:00.000Z,22,1,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-09T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-10T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-11T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-12T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-13T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-14T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-15T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-16T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-17T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-18T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-19T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-20T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-21T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-22T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-23T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-24T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-25T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-26T00:00:00.000Z,22,0,4,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2025-11-27T00:00:00.000Z,22,0,3,1,0,0,20,0,2,20,0,2,/boundary/53292,Albania
2024-01-01T00:00:00.000Z,0,1,2,,,,0,1,2,0,1,2,/boundary/192756,Algeria
2024-02-01T00:00:00.000Z,1,0,1,,,,1,0,1,1,0,1,/boundary/192756,Algeria
2024-03-01T00:00:00.000Z,4,0,4,,,,3,0,3,3,0,3,/boundary/192756,Algeria
2024-04-01T00:00:00.000Z,5,0,2,,,,3,0,1,3,0,1,/boundary/192756,Algeria
2024-05-01T00:00:00.000Z,7,0,3,,,,5,0,2,5,0,2,/boundary/192756,Algeria
2024-06-01T00:00:00.000Z,10,0,4,,,,8,0,4,8,0,4,/boundary/192756,Algeria
2024-07-01T00:00:00.000Z,11,1,2,,,,9,1,2,9,1,2,/boundary/192756,Algeria
2024-08-01T00:00:00.000Z,13,0,3,1,0,1,10,0,2,10,0,2,/boundary/192756,Algeria
2024-09-01T00:00:00.000Z,16,1,5,1,0,0,12,1,4,12,1,4,/boundary/192756,Algeria
2024-10-01T00:00:00.000Z,16,0,3,1,0,0,12,0,3,12,0,3,/boundary/192756,Algeria
2024-11-01T00:00:00.000Z,16,0,2,1,0,0,12,0,1,12,0,1,/boundary/192756,Algeria
2024-12-01T00:00:00.000Z,16,0,3,1,0,0,13,0,3,13,0,3,/boundary/192756,Algeria
2025-01-01T00:00:00.000Z,19,0,4,1,0,0,15,0,3,15,0,3,/boundary/192756,Algeria
2025-02-01T00:00:00.000Z,24,0,5,1,0,0,19,0,4,19,0,4,/boundary/192756,Algeria
2025-03-01T00:00:00.000Z,25,0,4,1,0,0,20,0,3,20,0,3,/boundary/192756,Algeria
2025-04-01T00:00:00.000Z,26,0,6,1,0,0,21,0,6,21,0,6,/boundary/192756,Algeria
2025-05-01T00:00:00.000Z,28,0,8,1,0,0,23,0,7,23,0,7,/boundary/192756,Algeria
2025-06-01T00:00:00.000Z,30,1,5,1,0,0,25,1,5,25,1,5,/boundary/192756,Algeria
2025-07-01T00:00:00.000Z,32,0,5,2,0,1,26,0,2,26,0,2,/boundary/192756,Algeria
2025-08-01T00:00:00.000Z,33,0,2,2,0,0,26,0,1,26,0,1,/boundary/192756,Algeria
2025-09-01T00:00:00.000Z,39,0,10,2,0,0,29,0,6,29,0,5,/boundary/192756,Algeria
2025-10-01T00:00:00.000Z,42,1,5,2,0,0,32,0,4,32,0,4,/boundary/192756,Algeria
2025-11-01T00:00:00.000Z,43,0,4,2,0,0,33,0,3,33,0,3,/boundary/192756,Algeria
2025-11-02T00:00:00.000Z,44,1,5,2,0,0,34,1,4,34,1,4,/boundary/192756,Algeria
2025-11-03T00:00:00.000Z,44,1,5,2,0,0,34,1,4,34,1,4,/boundary/192756,Algeria
2025-11-04T00:00:00.000Z,44,1,6,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-05T00:00:00.000Z,44,1,6,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-06T00:00:00.000Z,45,2,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-07T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-08T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-09T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-10T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-11T00:00:00.000Z,45,1,7,2,0,0,34,1,4,34,1,4,/boundary/192756,Algeria
2025-11-12T00:00:00.000Z,45,2,8,2,0,0,34,1,4,34,1,4,/boundary/192756,Algeria
2025-11-13T00:00:00.000Z,45,1,8,2,0,0,34,1,4,34,1,4,/boundary/192756,Algeria
2025-11-14T00:00:00.000Z,45,0,8,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-15T00:00:00.000Z,45,0,8,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-16T00:00:00.000Z,45,0,8,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-17T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-18T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-19T00:00:00.000Z,45,0,7,2,0,0,34,0,4,34,0,4,/boundary/192756,Algeria
2025-11-20T00:00:00.000Z,45,0,6,2,0,0,34,0,3,34,0,3,/boundary/192756,Algeria
2025-11-21T00:00:00.000Z,46,2,8,2,0,0,35,2,5,35,2,5,/boundary/192756,Algeria
2025-11-22T00:00:00.000Z,46,0,8,2,0,0,35,0,5,35,0,5,/boundary/192756,Algeria
2025-11-23T00:00:00.000Z,46,0,8,2,0,0,35,0,5,35,0,5,/boundary/192756,Algeria
2025-11-24T00:00:00.000Z,46,0,7,2,0,0,35,0,4,35,0,4,/boundary/192756,Algeria
2025-11-25T00:00:00.000Z,46,2,7,2,0,0,35,2,4,35,2,4,/boundary/192756,Algeria
2025-11-26T00:00:00.000Z,46,0,7,2,0,0,35,0,4,35,0,4,/boundary/192756,Algeria
2025-11-27T00:00:00.000Z,46,0,7,2,0,0,35,0,4,35,0,4,/boundary/192756,Algeria
2024-02-01T00:00:00.000Z,1,0,1,,,,1,0,1,1,0,1,/boundary/9407,Andorra
2024-03-01T00:00:00.000Z,2,0,1,,,,2,0,1,2,0,1,/boundary/9407,Andorra
2024-04-01T00:00:00.000Z,4,0,2,,,,3,0,1,3,0,1,/boundary/9407,Andorra
2024-05-01T00:00:00.000Z,4,0,0,,,,3,0,0,3,0,0,/boundary/9407,Andorra
2024-06-01T00:00:00.000Z,4,0,0,,,,3,0,0,3,0,0,/boundary/9407,Andorra
2024-07-01T00:00:00.000Z,5,0,1,,,,4,0,1,4,0,1,/boundary/9407,Andorra
2024-08-01T00:00:00.000Z,5,0,0,,,,4,0,0,4,0,0,/boundary/9407,Andorra
2024-09-01T00:00:00.000Z,5,0,0,,,,4,0,0,4,0,0,/boundary/9407,Andorra
2024-10-01T00:00:00.000Z,6,0,2,,,,5,0,1,5,0,1,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,6,0,1,,,,5,0,1,5,0,1,/boundary/9407,Andorra
2024-12-01T00:00:00.000Z,7,0,1,,,,5,0,0,5,0,0,/boundary/9407,Andorra
2025-01-01T00:00:00.000Z,7,0,0,,,,5,0,0,5,0,0,/boundary/9407,Andorra
2025-02-01T00:00:00.000Z,7,0,0,,,,5,0,0,5,0,0,/boundary/9407,Andorra
2025-03-01T00:00:00.000Z,7,0,0,,,,5,0,0,5,0,0,/boundary/9407,Andorra
2025-04-01T00:00:00.000Z,8,0,1,,,,6,0,1,6,0,1,/boundary/9407,Andorra
2025-05-01T00:00:00.000Z,8,0,1,,,,6,0,1,6,0,1,/boundary/9407,Andorra
2025-06-01T00:00:00.000Z,10,0,2,,,,7,0,1,7,0,1,/boundary/9407,Andorra
2025-07-01T00:00:00.000Z,11,0,1,,,,8,0,1,8,0,1,/boundary/9407,Andorra
2025-08-01T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-09-01T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-10-01T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-01T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-02T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-03T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-04T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-05T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-06T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-07T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-08T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-09T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-10T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-11T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-12T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-13T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-14T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-15T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-16T00:00:00.000Z,11,0,0,,,,8,0,0,8,0,0,/boundary/9407,Andorra
2025-11-17T00:00:00.000Z,12,1,1,,,,9,1,1,9,1,1,/boundary/9407,Andorra
2025-11-18T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-19T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-20T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-21T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-22T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-23T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-24T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-25T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-26T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2025-11-27T00:00:00.000Z,12,0,1,,,,9,0,1,9,0,1,/boundary/9407,Andorra
2024-01-01T00:00:00.000Z,0,0,1,,,,,,,,,,/boundary/195267,Angola
2024-02-01T00:00:00.000Z,1,0,1,,,,1,0,1,1,0,1,/boundary/195267,Angola
2024-03-01T00:00:00.000Z,2,0,2,,,,2,0,2,2,0,2,/boundary/195267,Angola
2024-04-01T00:00:00.000Z,4,0,2,,,,4,0,2,4,0,2,/boundary/195267,Angola
2024-05-01T00:00:00.000Z,4,0,0,,,,4,0,0,4,0,0,/boundary/195267,Angola
2024-06-01T00:00:00.000Z,4,0,0,,,,4,0,0,4,0,0,/boundary/195267,Angola
2024-07-01T00:00:00.000Z,4,0,0,,,,4,0,0,4,0,0,/boundary/195267,Angola
2024-08-01T00:00:00.000Z,4,0,1,,,,4,0,1,4,0,1,/boundary/195267,Angola
2024-09-01T00:00:00.000Z,4,0,1,,,,4,0,1,4,0,1,/boundary/195267,Angola
2024-10-01T00:00:00.000Z,5,0,1,,,,5,0,1,5,0,1,/boundary/195267,Angola
2024-11-01T00:00:00.000Z,5,0,0,,,,5,0,0,5,0,0,/boundary/195267,Angola
2024-12-01T00:00:00.000Z,6,0,1,,,,6,0,1,6,0,1,/boundary/195267,Angola
2025-01-01T00:00:00.000Z,6,0,0,,,,6,0,0,6,0,0,/boundary/195267,Angola
2025-02-01T00:00:00.000Z,7,0,1,,,,7,0,1,7,0,1,/boundary/195267,Angola
2025-03-01T00:00:00.000Z,7,0,1,,,,7,0,0,7,0,0,/boundary/195267,Angola
2025-04-01T00:00:00.000Z,14,1,7,,,,14,1,7,14,1,7,/boundary/195267,Angola
2025-05-01T00:00:00.000Z,16,0,2,,,,16,0,2,16,0,2,/boundary/195267,Angola
2025-06-01T00:00:00.000Z,17,0,1,,,,17,0,1,17,0,1,/boundary/195267,Angola
2025-07-01T00:00:00.000Z,18,0,1,,,,18,0,1,18,0,1,/boundary/195267,Angola
2025-08-01T00:00:00.000Z,18,0,0,,,,18,0,0,18,0,0,/boundary/195267,Angola
2025-09-01T00:00:00.000Z,19,0,1,,,,18,0,0,18,0,0,/boundary/195267,Angola
