x,amount,amount_1d,amount_30d,labels.distribution.amount,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2024-01-01T00:00:00.000Z,0,114,1287,0,16,231,0,3,31,0,4,56,0,24,365,"",World (default)
2024-02-01T00:00:00.000Z,1460,94,1425,264,15,257,39,3,38,62,5,61,400,23,393,"",World (default)
2024-03-01T00:00:00.000Z,2225,106,1455,460,11,273,70,2,52,97,4,62,678,25,404,"",World (default)
2024-04-01T00:00:00.000Z,2938,122,1524,621,13,254,94,3,49,128,2,59,905,22,389,"",World (default)
2024-05-01T00:00:00.000Z,3573,113,1530,772,22,278,110,1,40,162,3,64,1136,27,409,"",World (default)
2024-06-01T00:00:00.000Z,4114,108,1460,916,14,260,131,3,44,196,3,61,1350,23,395,"",World (default)
2024-07-01T00:00:00.000Z,4584,118,1431,1043,23,249,148,1,36,219,4,51,1524,34,382,"",World (default)
2024-08-01T00:00:00.000Z,5040,114,1398,1160,20,257,156,3,29,250,5,59,1712,20,378,"",World (default)
2024-09-01T00:00:00.000Z,5529,113,1502,1282,17,266,176,6,46,269,1,51,1892,27,396,"",World (default)
2024-10-01T00:00:00.000Z,5951,119,1521,1405,19,289,188,2,41,302,7,64,2056,32,401,"",World (default)
2024-11-01T00:00:00.000Z,6363,117,1511,1532,16,304,206,3,42,334,2,71,2265,33,478,"",World (default)
2024-12-01T00:00:00.000Z,6754,125,1510,1658,16,291,217,2,35,364,5,65,2433,24,423,"",World (default)
2025-01-01T00:00:00.000Z,7096,131,1421,1788,24,270,233,0,42,387,4,62,2599,27,405,"",World (default)
2025-02-01T00:00:00.000Z,7512,117,1545,1906,17,299,254,2,49,413,4,57,2768,27,453,"",World (default)
2025-03-01T00:00:00.000Z,7833,132,1540,2012,16,308,270,3,44,429,1,48,2945,20,470,"",World (default)
2025-04-01T00:00:00.000Z,8239,133,1605,2132,18,290,292,3,49,453,4,56,3135,32,450,"",World (default)
2025-05-01T00:00:00.000Z,8587,128,1598,2226,18,285,305,2,41,484,4,71,3290,37,475,"",World (default)
2025-06-01T00:00:00.000Z,8995,131,1622,2340,21,294,325,4,47,510,5,69,3462,32,463,"",World (default)
2025-07-01T00:00:00.000Z,9339,158,1571,2441,20,305,339,3,39,544,7,76,3616,30,469,"",World (default)
2025-08-01T00:00:00.000Z,9709,138,1559,2537,23,288,353,1,37,569,2,67,3760,35,444,"",World (default)
2025-09-01T00:00:00.000Z,10056,146,1643,2654,24,313,369,6,56,602,5,79,3902,35,488,"",World (default)
2025-10-01T00:00:00.000Z,10382,136,1578,2749,17,304,382,3,43,624,4,66,4043,34,455,"",World (default)
2025-11-01T00:00:00.000Z,10700,157,1604,2849,14,304,400,3,51,652,7,72,4181,32,466,"",World (default)
2025-11-02T00:00:00.000Z,10711,130,1614,2850,10,298,401,3,52,652,1,71,4186,28,465,"",World (default)
2025-11-03T00:00:00.000Z,10725,143,1633,2853,14,300,402,3,53,652,4,70,4190,28,467,"",World (default)
2025-11-04T00:00:00.000Z,10734,144,1633,2857,19,304,403,4,54,653,3,71,4194,37,474,"",World (default)
2025-11-05T00:00:00.000Z,10755,138,1651,2859,18,303,404,3,53,654,5,71,4201,34,471,"",World (default)
2025-11-06T00:00:00.000Z,10762,133,1646,2862,13,302,405,3,53,655,3,70,4207,30,478,"",World (default)
2025-11-07T00:00:00.000Z,10773,158,1652,2869,21,302,405,5,54,658,7,70,4213,40,475,"",World (default)
2025-11-08T00:00:00.000Z,10787,150,1649,2870,14,298,407,9,55,658,7,68,4215,34,472,"",World (default)
2025-11-09T00:00:00.000Z,10805,135,1653,2875,18,304,407,2,52,658,2,67,4221,33,474,"",World (default)
2025-11-10T00:00:00.000Z,10809,121,1651,2878,16,304,408,5,51,658,3,67,4224,25,475,"",World (default)
2025-11-11T00:00:00.000Z,10817,146,1661,2884,21,309,408,5,50,659,5,65,4226,30,475,"",World (default)
2025-11-12T00:00:00.000Z,10828,113,1654,2887,12,302,409,3,51,659,3,66,4229,16,473,"",World (default)
2025-11-13T00:00:00.000Z,10841,132,1661,2893,22,305,412,5,52,661,4,65,4238,35,484,"",World (default)
2025-11-14T00:00:00.000Z,10850,129,1678,2900,16,312,414,4,52,663,3,68,4245,36,490,"",World (default)
2025-11-15T00:00:00.000Z,10857,122,1662,2904,12,311,414,5,52,663,3,68,4250,26,487,"",World (default)
2025-11-16T00:00:00.000Z,10863,125,1646,2906,13,302,414,1,52,664,6,69,4252,24,477,"",World (default)
2025-11-17T00:00:00.000Z,10868,135,1643,2910,14,302,414,2,51,666,6,69,4256,24,480,"",World (default)
2025-11-18T00:00:00.000Z,10878,150,1627,2913,19,292,416,4,52,667,1,66,4267,39,473,"",World (default)
2025-11-19T00:00:00.000Z,10888,131,1619,2919,24,297,417,3,52,668,4,67,4273,32,474,"",World (default)
2025-11-20T00:00:00.000Z,10900,136,1622,2927,22,304,417,0,52,669,4,65,4280,33,473,"",World (default)
2025-11-21T00:00:00.000Z,10908,134,1620,2928,12,298,417,4,50,669,3,66,4281,28,476,"",World (default)
2025-11-22T00:00:00.000Z,10920,121,1618,2930,17,295,417,3,50,670,5,65,4284,31,475,"",World (default)
2025-11-23T00:00:00.000Z,10934,121,1620,2933,16,293,417,3,51,672,5,65,4289,30,482,"",World (default)
2025-11-24T00:00:00.000Z,10946,128,1623,2938,18,292,417,6,51,672,7,66,4297,30,486,"",World (default)
2025-11-25T00:00:00.000Z,10957,142,1623,2942,22,293,419,5,54,672,5,66,4302,34,491,"",World (default)
2025-11-26T00:00:00.000Z,10969,142,1608,2946,20,290,419,2,54,674,4,66,4310,34,498,"",World (default)
2025-11-27T00:00:00.000Z,10976,136,1601,2950,24,299,421,5,55,674,2,65,4313,26,498,"",World (default)
2024-01-01T00:00:00.000Z,0,0,1,0,0,1,,,,,,,,,,/boundary/303427,Afghanistan
2024-02-01T00:00:00.000Z,1,0,0,,,,,,,,,,,,,/boundary/303427,Afghanistan
2024-03-01T00:00:00.000Z,1,0,1,,,,,,,,,,,,,/boundary/303427,Afghanistan
2024-04-01T00:00:00.000Z,1,0,1,1,0,1,1,0,1,,,,1,0,1,/boundary/303427,Afghanistan
2024-05-01T00:00:00.000Z,1,0,0,1,0,0,1,0,0,,,,1,0,0,/boundary/303427,Afghanistan
2024-06-01T00:00:00.000Z,1,0,0,1,0,0,1,0,0,,,,1,0,0,/boundary/303427,Afghanistan
2024-07-01T00:00:00.000Z,3,0,2,2,0,1,2,0,1,1,0,1,3,0,2,/boundary/303427,Afghanistan
2024-08-01T00:00:00.000Z,3,0,0,2,0,0,2,0,0,1,0,0,3,0,0,/boundary/303427,Afghanistan
2024-09-01T00:00:00.000Z,5,0,1,2,0,0,2,0,0,1,0,0,4,0,1,/boundary/303427,Afghanistan
2024-10-01T00:00:00.000Z,6,0,1,2,0,0,2,0,0,1,0,0,4,0,0,/boundary/303427,Afghanistan
2024-11-01T00:00:00.000Z,7,0,1,2,0,0,2,0,0,1,0,0,4,0,0,/boundary/303427,Afghanistan
2024-12-01T00:00:00.000Z,8,0,1,2,0,0,2,0,0,1,0,0,4,0,0,/boundary/303427,Afghanistan
2025-01-01T00:00:00.000Z,9,0,1,2,0,0,2,0,0,1,0,0,5,0,1,/boundary/303427,Afghanistan
2025-02-01T00:00:00.000Z,9,0,0,2,0,0,2,0,0,1,0,0,5,0,0,/boundary/303427,Afghanistan
2025-03-01T00:00:00.000Z,9,0,0,2,0,0,2,0,0,1,0,0,5,0,0,/boundary/303427,Afghanistan
2025-04-01T00:00:00.000Z,9,1,1,2,0,0,2,0,0,1,0,0,6,1,1,/boundary/303427,Afghanistan
2025-05-01T00:00:00.000Z,10,0,1,2,0,0,2,0,0,1,0,0,7,0,1,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,10,0,0,2,0,0,2,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,11,0,1,2,0,0,2,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,11,0,0,2,0,0,2,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,11,0,0,2,0,0,2,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,11,0,1,2,0,0,3,0,1,1,0,0,7,0,1,/boundary/303427,Afghanistan
2025-11-01T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-02T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-03T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-04T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-05T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-06T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-07T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-08T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-09T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-10T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-11T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-12T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-13T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-14T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-15T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-16T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-17T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-18T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-19T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-20T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-21T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-22T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-23T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-24T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-25T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-26T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2025-11-27T00:00:00.000Z,11,0,0,2,0,0,3,0,0,1,0,0,7,0,0,/boundary/303427,Afghanistan
2024-01-01T00:00:00.000Z,0,0,1,,,,,,,,,,,,,/boundary/53292,Albania
2024-03-01T00:00:00.000Z,2,1,2,1,1,1,,,,,,,1,1,1,/boundary/53292,Albania
2024-04-01T00:00:00.000Z,2,0,0,1,0,0,,,,,,,1,0,0,/boundary/53292,Albania
2024-05-01T00:00:00.000Z,2,1,1,2,0,1,,,,,,,1,0,0,/boundary/53292,Albania
2024-06-01T00:00:00.000Z,2,0,0,2,0,0,,,,,,,1,0,0,/boundary/53292,Albania
2024-07-01T00:00:00.000Z,3,0,2,2,0,1,,,,,,,2,0,1,/boundary/53292,Albania
2024-08-01T00:00:00.000Z,3,0,2,2,0,0,,,,,,,2,0,1,/boundary/53292,Albania
2024-09-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,2,0,0,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,4,0,1,2,0,0,,,,,,,2,0,0,/boundary/53292,Albania
2024-11-01T00:00:00.000Z,4,0,0,2,0,0,,,,,,,2,0,0,/boundary/53292,Albania
2024-12-01T00:00:00.000Z,7,0,3,2,0,0,,,,,,,4,0,2,/boundary/53292,Albania
2025-01-01T00:00:00.000Z,7,0,1,2,0,0,,,,,,,4,0,0,/boundary/53292,Albania
2025-02-01T00:00:00.000Z,8,0,1,2,0,0,,,,,,,4,0,0,/boundary/53292,Albania
2025-03-01T00:00:00.000Z,9,0,3,2,0,1,,,,,,,4,0,0,/boundary/53292,Albania
2025-04-01T00:00:00.000Z,9,0,0,2,0,0,,,,,,,4,0,0,/boundary/53292,Albania
2025-05-01T00:00:00.000Z,10,1,1,2,0,0,,,,,,,4,0,0,/boundary/53292,Albania
2025-06-01T00:00:00.000Z,12,0,2,2,0,0,,,,,,,5,0,1,/boundary/53292,Albania
2025-07-01T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-08-01T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-09-01T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-10-01T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-01T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-02T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-03T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-04T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-05T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-06T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-07T00:00:00.000Z,13,0,0,2,0,0,,,,,,,6,0,0,/boundary/53292,Albania
2025-11-08T00:00:00.000Z,13,1,1,2,0,0,,,,,,,6,1,1,/boundary/53292,Albania
2025-11-09T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-10T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-11T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-12T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-13T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-14T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-15T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-16T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-17T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-18T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-19T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-20T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-21T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-22T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-23T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-24T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-25T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-26T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2025-11-27T00:00:00.000Z,13,0,1,2,0,0,,,,,,,6,0,1,/boundary/53292,Albania
2024-01-01T00:00:00.000Z,0,0,1,,,,,,,,,,0,0,1,/boundary/192756,Algeria
2024-02-01T00:00:00.000Z,1,0,1,,,,,,,,,,,,,/boundary/192756,Algeria
2024-03-01T00:00:00.000Z,3,0,3,,,,,,,,,,1,0,1,/boundary/192756,Algeria
2024-04-01T00:00:00.000Z,5,0,2,,,,,,,,,,2,0,1,/boundary/192756,Algeria
2024-05-01T00:00:00.000Z,6,0,2,2,0,2,,,,,,,3,0,1,/boundary/192756,Algeria
2024-06-01T00:00:00.000Z,6,0,1,2,0,0,,,,,,,3,0,0,/boundary/192756,Algeria
2024-07-01T00:00:00.000Z,7,0,1,2,0,0,,,,,,,3,0,0,/boundary/192756,Algeria
2024-08-01T00:00:00.000Z,7,0,1,2,0,0,,,,,,,3,0,1,/boundary/192756,Algeria
2024-09-01T00:00:00.000Z,7,0,0,2,0,0,,,,,,,3,0,0,/boundary/192756,Algeria
2024-10-01T00:00:00.000Z,9,0,3,2,0,0,,,,,,,4,0,2,/boundary/192756,Algeria
2024-11-01T00:00:00.000Z,9,0,1,2,0,0,,,,,,,5,0,0,/boundary/192756,Algeria
2024-12-01T00:00:00.000Z,9,0,2,2,0,1,,,,,,,5,0,0,/boundary/192756,Algeria
2025-01-01T00:00:00.000Z,11,0,1,3,0,1,,,,,,,7,0,1,/boundary/192756,Algeria
2025-02-01T00:00:00.000Z,13,0,3,3,0,0,,,,,,,8,0,2,/boundary/192756,Algeria
2025-03-01T00:00:00.000Z,14,0,2,3,0,0,,,,,,,8,0,0,/boundary/192756,Algeria
2025-04-01T00:00:00.000Z,14,0,4,3,0,1,,,,,,,8,0,4,/boundary/192756,Algeria
2025-05-01T00:00:00.000Z,17,0,7,4,0,1,,,,,,,12,0,5,/boundary/192756,Algeria
2025-06-01T00:00:00.000Z,18,1,3,4,0,0,,,,,,,13,1,2,/boundary/192756,Algeria
2025-07-01T00:00:00.000Z,19,0,1,5,0,1,,,,1,0,1,14,0,1,/boundary/192756,Algeria
2025-08-01T00:00:00.000Z,19,0,0,5,0,0,,,,1,0,0,14,0,0,/boundary/192756,Algeria
2025-09-01T00:00:00.000Z,22,0,5,6,0,1,,,,1,0,0,15,0,3,/boundary/192756,Algeria
2025-10-01T00:00:00.000Z,23,0,3,7,0,1,,,,1,0,0,16,0,3,/boundary/192756,Algeria
2025-11-01T00:00:00.000Z,24,0,1,7,0,0,,,,2,0,1,16,0,0,/boundary/192756,Algeria
2025-11-02T00:00:00.000Z,25,1,2,7,0,0,,,,2,0,1,17,1,1,/boundary/192756,Algeria
2025-11-03T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-04T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-05T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-06T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-07T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-08T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-09T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-10T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-11T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-12T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-13T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-14T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-15T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,1,17,0,1,/boundary/192756,Algeria
2025-11-16T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-17T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-18T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-19T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-20T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-21T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-22T00:00:00.000Z,25,0,1,7,0,0,,,,2,0,0,17,0,1,/boundary/192756,Algeria
2025-11-23T00:00:00.000Z,25,1,2,7,0,0,,,,2,0,0,17,1,2,/boundary/192756,Algeria
2025-11-24T00:00:00.000Z,25,0,2,7,0,0,,,,2,0,0,17,0,2,/boundary/192756,Algeria
2025-11-25T00:00:00.000Z,25,1,3,7,0,0,,,,2,0,0,17,1,3,/boundary/192756,Algeria
2025-11-26T00:00:00.000Z,25,0,3,7,0,0,,,,2,0,0,17,0,3,/boundary/192756,Algeria
2025-11-27T00:00:00.000Z,25,0,3,7,0,0,,,,2,0,0,17,0,3,/boundary/192756,Algeria
2024-03-01T00:00:00.000Z,1,0,1,,,,,,,,,,1,0,1,/boundary/9407,Andorra
2024-04-01T00:00:00.000Z,1,0,0,,,,,,,,,,1,0,0,/boundary/9407,Andorra
2024-05-01T00:00:00.000Z,1,0,0,,,,,,,,,,1,0,0,/boundary/9407,Andorra
2024-06-01T00:00:00.000Z,1,0,0,,,,,,,,,,1,0,0,/boundary/9407,Andorra
2024-07-01T00:00:00.000Z,1,0,0,,,,,,,,,,1,0,0,/boundary/9407,Andorra
2024-08-01T00:00:00.000Z,1,0,0,,,,,,,,,,1,0,0,/boundary/9407,Andorra
2024-09-01T00:00:00.000Z,2,0,1,,,,,,,,,,1,0,0,/boundary/9407,Andorra
2024-10-01T00:00:00.000Z,3,0,1,1,0,1,,,,,,,2,0,1,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,3,0,1,2,0,1,,,,,,,3,0,1,/boundary/9407,Andorra
2024-12-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-01-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-02-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-03-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-04-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-05-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-06-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-07-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-08-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-09-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-10-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-01T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-02T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-03T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-04T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-05T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-06T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-07T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-08T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-09T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-10T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-11T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-12T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-13T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-14T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-15T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-16T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-17T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-18T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-19T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-20T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-21T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-22T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-23T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-24T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-25T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-26T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2025-11-27T00:00:00.000Z,3,0,0,2,0,0,,,,,,,3,0,0,/boundary/9407,Andorra
2024-01-01T00:00:00.000Z,0,0,2,,,,,,,,,,,,,/boundary/195267,Angola
2024-03-01T00:00:00.000Z,1,0,1,,,,,,,,,,,,,/boundary/195267,Angola
2024-04-01T00:00:00.000Z,1,0,0,,,,,,,,,,,,,/boundary/195267,Angola
2024-05-01T00:00:00.000Z,2,0,1,,,,,,,,,,,,,/boundary/195267,Angola
