t,amount_1d,amount_30d,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2025-10-10T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-11T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-12T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-13T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-14T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-15T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-16T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-17T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-18T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-19T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-20T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-21T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-22T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-23T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-24T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-25T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-26T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-27T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2025-10-28T00:00:00.000Z,0,1,,,0,1,,,0,1,/boundary/303427,Afghanistan
2024-01-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/53292,Albania
2024-03-01T00:00:00.000Z,1,2,1,1,,,,,1,1,/boundary/53292,Albania
2024-05-01T00:00:00.000Z,1,1,0,1,,,,,,,/boundary/53292,Albania
2024-07-01T00:00:00.000Z,0,2,0,1,,,,,0,1,/boundary/53292,Albania
2024-08-01T00:00:00.000Z,0,1,,,,,,,0,1,/boundary/53292,Albania
2024-10-01T00:00:00.000Z,0,1,,,,,,,,,/boundary/53292,Albania
