t,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,Country,growth_percent,growth_km
2025-11-04T00:00:00Z,3691.32288640044,,,126,3691.32288640044,126,3691.32288640044,Afghanistan,0.114796015829518,380.1136301907
2025-11-04T00:00:00Z,2696.05626568266,20,54552.1498482074,345,2641.50411583445,345,2641.50411583445,Albania,0.0161221095340675,42.7764675303401
2025-11-04T00:00:00Z,32638.8792909631,29,296982.755978452,1614,32341.8965349847,1595,32324.2223542397,Algeria,0.0243181693044469,774.874268845601
2025-11-04T00:00:00Z,55.2005774852211,,,9,55.2005774852211,8,55.1256603390354,Andorra,-0.0684718175417074,-4.0575088772842
2025-11-04T00:00:00Z,5980.67756157452,,,193,5980.67756157452,191,5980.06612392722,Angola,0.000128823068352773,0.770349995460492
2025-11-04T00:00:00Z,60619.2124256069,173,1734309.87842294,2915,58926.3384059611,2665,58202.1042096122,Argentina,-0.243955056393607,-19560.1643935126
2025-11-04T00:00:00Z,3353.74442083516,89,354703.024589561,304,3002.68052116436,304,3002.68052116436,Armenia,0.00102910546208959,3.44780854332976
2025-11-04T00:00:00Z,86766.1805609059,2228,8110217.87993379,13639,78717.7754944464,13216,77557.9384426335,Australia,0.016357505902885,1396.436098964
2025-11-04T00:00:00Z,13833.0048249075,3173,1550624.12444176,5688,12383.2651559193,5274,11708.5207246981,Austria,0.00228383033805254,31.520249184201
2025-11-04T00:00:00Z,7815.80090021558,23,178024.074395195,735,7637.77682582039,732,7636.05022490935,Azerbaijan,0.0575029144397922,424.992994635511
2025-11-04T00:00:00Z,64.2833763471542,,,20,64.2833763471542,19,19.3475410429185,Bahrain,0.0119858971872983,0.7613682580863
2025-11-04T00:00:00Z,10156.0880484255,11,6288.73604040227,815,10149.7993123851,813,10148.3275192696,Bangladesh,0.139976323998152,1247.05385655226
2025-11-04T00:00:00Z,35468.6159997229,1735,11653368.5451369,2789,23900.9726013671,2769,23888.6475641097,Belarus,4.44768935301928e-05,1.57746369679808
2025-11-04T00:00:00Z,7158.9301475823,211,636661.079884177,3801,6519.69624167655,3613,5740.87544773813,Belgium,-0.00174197290298018,-12.49242379516
2025-11-04T00:00:00Z,632.866319845489,11,95704.2794396763,13,537.162040405813,13,537.162040405813,Belize,0.000150128080769233,0.0949967443029891
