t,amount,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,id_relation,Pays
2024-10-01T00:00:00.000Z,114,3649.14864451171,,,114,3649.14864451171,114,3649.14864451171,/boundary/303427,Afghanistan
2024-11-01T00:00:00.000Z,114,3649.14864451171,,,114,3649.14864451171,114,3649.14864451171,/boundary/303427,Afghanistan
2024-12-01T00:00:00.000Z,113,3308.98965120312,,,113,3308.98965120312,113,3308.98965120312,/boundary/303427,Afghanistan
2025-01-01T00:00:00.000Z,113,3308.98965120312,,,113,3308.98965120312,113,3308.98965120312,/boundary/303427,Afghanistan
2025-02-01T00:00:00.000Z,113,3308.98965120312,,,113,3308.98965120312,113,3308.98965120312,/boundary/303427,Afghanistan
2025-03-01T00:00:00.000Z,113,3308.98965120312,,,113,3308.98965120312,113,3308.98965120312,/boundary/303427,Afghanistan
2025-04-01T00:00:00.000Z,113,3308.83556030304,,,113,3308.83556030304,113,3308.83556030304,/boundary/303427,Afghanistan
2025-05-01T00:00:00.000Z,120,3649.5959351441,,,120,3649.5959351441,120,3649.5959351441,/boundary/303427,Afghanistan
2025-06-01T00:00:00.000Z,120,3685.86004487449,,,120,3685.86004487449,120,3685.86004487449,/boundary/303427,Afghanistan
2025-07-01T00:00:00.000Z,120,3686.3270413177,,,120,3686.3270413177,120,3686.3270413177,/boundary/303427,Afghanistan
2025-08-01T00:00:00.000Z,120,3686.3270413177,,,120,3686.3270413177,120,3686.3270413177,/boundary/303427,Afghanistan
2025-09-01T00:00:00.000Z,120,3686.3271052386,,,120,3686.3271052386,120,3686.3271052386,/boundary/303427,Afghanistan
2025-10-01T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-02T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-03T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-04T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-05T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-06T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-07T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-08T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-09T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-10T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-11T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-12T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-13T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-14T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-15T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-16T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
2025-10-17T00:00:00.000Z,126,3689.09782461164,,,126,3689.09782461164,126,3689.09782461164,/boundary/303427,Afghanistan
