t,amount,length,labels.distribution.amount,labels.distribution.length,labels.generation.amount,labels.generation.length,labels.industrial.amount,labels.industrial.length,labels.transmission.amount,labels.transmission.length,id_relation,Pays
2025-10-12T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-13T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-14T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-15T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-16T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-17T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-18T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-19T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-20T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-21T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-22T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-23T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
2025-10-24T00:00:00.000Z,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,96,42342.7627663498,40,27931.3203199997,/boundary/303427,Afghanistan
