t,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,Country,growth_percent,growth_km
2025-10-30T00:00:00Z,7079.72007698136,6,1607.91689813112,331,7078.11216008323,329,7077.96143108421,Ghana,0.0176781041123966,122.98194104968
2025-10-30T00:00:00Z,12875.3959806097,24,62469.5002211635,1301,12762.1747025219,1257,12121.9028943412,Greece,0.0462061702218709,568.647705669599
2025-10-30T00:00:00Z,2629.86664789085,,,391,2629.86664789085,391,2629.86664789085,Guatemala,0.00565414313101458,14.7860400558397
2025-10-30T00:00:00Z,1622.55923311594,1,1039.66871276936,64,1621.51956440317,64,1621.51956440317,Guinea,0.00150209295704901,2.43357933408015
2025-10-30T00:00:00Z,317.025619146483,,,21,317.025619146483,21,317.025619146483,Guinea-Bissau,0,0
2025-10-30T00:00:00Z,102.280147918108,,,38,102.280147918108,38,102.280147918108,Haiti,0,0
2025-10-30T00:00:00Z,2027.44993825678,,,99,2027.44993825678,99,2027.44993825678,Honduras,0.00320673583180176,6.48071442502987
2025-10-30T00:00:00Z,12102.6376816845,701,286171.531820708,4337,11857.5223682184,4248,11716.0556259494,Hungary,0.0200843986913902,238.288322739001
2025-10-30T00:00:00Z,3455.19924292111,5,33158.0757478745,232,3422.04116717324,156,3146.55509555187,Iceland,0.039739257939327,132.05912241723
2025-10-30T00:00:00Z,453986.48066569,1009,764455.714683169,37327,453222.024951006,37200,453095.569920784,India,0.041217854371339,17971.597939927
2025-10-30T00:00:00Z,36945.2279690556,26,25383.8758866964,3699,36920.1578703229,3678,36889.3082811015,Indonesia,0.00976952160037877,357.445134710106
2025-10-30T00:00:00Z,72329.8535317433,40,182198.590773592,4655,72147.6549409697,4652,72139.7485204491,Iran,0.00939501309037216,673.215056487097
2025-10-30T00:00:00Z,17320.175993566,69,822530.753347547,1062,16497.6452402184,1060,16496.0127731619,Iraq,0.134381364769553,2051.7869566176
2025-10-30T00:00:00Z,3688.46764370253,2,273.378953273782,1800,3688.19426474926,1740,3617.24449754165,Israel,-0.00114168711590936,-4.21588921265993
2025-10-30T00:00:00Z,66461.5233563814,1660,1083700.90394667,15803,64948.0761335606,15261,63083.0621008761,Italy,0.00752065272282573,496.103018079593
2025-10-30T00:00:00Z,7125.31573268636,3,262.138810940707,158,7125.05359387542,158,7125.05359387542,Ivory Coast,0.00590414003883611,41.8219393202598
2025-10-30T00:00:00Z,585.986872607343,,,48,585.986872607343,48,585.986872607343,Jamaica,0.0307784282052509,17.49721801917
2025-10-30T00:00:00Z,62395.8539565992,657,1161479.39901708,24569,61411.9468731843,23824,60675.2748453932,Japan,0.0124701357208022,768.501449872601
2025-10-30T00:00:00Z,2938.3699493351,1,8635.2349035425,379,2938.3699493351,378,2926.63219991135,Jordan,0.134023241924501,347.26789718622
2025-10-30T00:00:00Z,64989.7005453538,452,4341527.62271786,2492,60648.1729226359,2487,60643.519944968,Kazakhstan,0.47280633663084,20863.2604771892
2025-10-30T00:00:00Z,7006.01973979057,115,29979.0538076634,256,6976.0406859829,251,6969.75693102595,Kenya,0.034640325865279,234.565385417351
2025-10-30T00:00:00Z,3707.77791525178,2,23437.7410302703,274,3684.34017422151,250,3653.6502010675,Kuwait,0.00837581673799023,30.7977123289002
2025-10-30T00:00:00Z,5944.77274118958,2,42362.0277266975,308,5902.41071346288,308,5902.41071346288,Kyrgyzstan,0.379956700404728,1636.83123878879
2025-10-30T00:00:00Z,8262.43789820475,1,1040.44701259552,370,8261.39745119215,370,8261.39745119215,Laos,0.0646822047569308,501.9645275701
2025-10-30T00:00:00Z,13623.1565150908,5361,8784187.5723423,734,4841.32402348453,692,4813.94419944028,Latvia,0.0367822514800412,483.313027566501
2025-10-30T00:00:00Z,893.21550437511,,,111,893.21550437511,111,893.21550437511,Lebanon,0.498878978448509,297.29314024957
2025-10-30T00:00:00Z,709.514187370259,5,7155.44087631458,63,702.358746493944,63,702.358746493944,Lesotho,-0.132432106695669,-108.305596932629
2025-10-30T00:00:00Z,817.779083179627,,,20,817.779083179627,20,817.779083179627,Liberia,-0.000455773949053308,-0.37289235681601
2025-10-30T00:00:00Z,15983.7425421864,59,455657.35965583,904,15528.0851825305,900,15503.0344394896,Libya,0.0372654808069089,574.242430650502
2025-10-30T00:00:00Z,51.220230981864,,,5,51.220230981864,4,49.5904615968265,Liechtenstein,0.0329981788492067,1.6361832743211
2025-10-30T00:00:00Z,10686.8329120389,570,3561681.60281117,1470,7154.45051046161,1450,6731.86119078402,Lithuania,0.00975062217774565,103.1970347067
2025-10-30T00:00:00Z,677.624867892868,,,527,677.624867892868,501,646.637582814487,Luxembourg,-0.00897440169501317,-6.13634781321696
2025-10-30T00:00:00Z,235.300188041565,,,15,235.300188041565,15,235.300188041565,Madagascar,0.0323084848578701,7.36426433949302
2025-10-30T00:00:00Z,2473.16766497665,5,126791.689641885,75,2346.37597533476,75,2346.37597533476,Malawi,0.0085274599617027,20.9115161251702
2025-10-30T00:00:00Z,15250.3498140574,18,235275.43350609,1987,15124.9946983989,1985,15110.2293621811,Malaysia,0.0143648053450236,215.965997014198
2025-10-30T00:00:00Z,17.8398438527374,,,3,17.8398438527374,,,Maldives,0,0
2025-10-30T00:00:00Z,1912.40544575733,,,25,1912.40544575733,25,1912.40544575733,Mali,4.67435283492891e-05,0.0893883998398906
2025-10-30T00:00:00Z,163.532740474369,19,55722.8271536386,4,107.80991332073,,,Malta,-0.00311010200743728,-0.510190248145989
2025-10-30T00:00:00Z,982.649401450728,,,11,982.649401450728,11,982.649401450728,Mauritania,-1.31312918548078e-13,-1.29034560814034e-10
2025-10-30T00:00:00Z,150.954191161966,,,12,150.954191161966,12,150.954191161966,Mauritius,0.000288615169296439,0.0435550987760109
2025-10-30T00:00:00Z,85429.8311233356,12,39152.7051028171,8773,85390.6784182328,8707,85355.8039226882,Mexico,0.00623841984047408,529.643017936702
2025-10-30T00:00:00Z,11932.8151154619,5796,7339393.08968914,638,4597.32330902634,637,4596.88681419232,Moldova,0.0157222381955671,184.70656104
2025-10-30T00:00:00Z,9974.9824964897,67,2498362.09878393,241,7476.62039770577,241,7476.62039770577,Mongolia,0.456038866491899,3124.21585416587
2025-10-30T00:00:00Z,1946.10237077139,17,124363.154384023,248,1821.73921638737,246,1815.47991548975,Montenegro,0.0320922680030135,60.51284442324
